Date,Demand_rbc
2014-01-01,997
2014-02-01,828
2014-03-01,961
2014-04-01,956
2014-05-01,1011
2014-06-01,966.5
2014-07-01,916.5
2014-08-01,973.5
2014-09-01,860.5
2014-10-01,893.5
2014-11-01,966
2014-12-01,992
2015-01-01,1031
2015-02-01,784
2015-03-01,960
2015-04-01,980.5
2015-05-01,993.5
2015-06-01,998
2015-07-01,1067.5
2015-08-01,887.5
2015-09-01,895
2015-10-01,882
2015-11-01,809.5
2015-12-01,961
2016-01-01,881
2016-02-01,806.5
2016-03-01,1016.5
2016-04-01,990.5
2016-05-01,999.5
2016-06-01,1048
2016-07-01,1009.5
2016-08-01,911.5
2016-09-01,951.5
2016-10-01,1050.5
2016-11-01,1092.5
2016-12-01,1185
2017-01-01,1174.5
2017-02-01,944.5
2017-03-01,1155
2017-04-01,1193.5
2017-05-01,1197.5
2017-06-01,1169
2017-07-01,1165
2017-08-01,1177.5
2017-09-01,1129.5
2017-10-01,1085.5
2017-11-01,1221
2017-12-01,1281.5
2018-01-01,1180.5
2018-02-01,946.5
2018-03-01,1160
2018-04-01,1103
2018-05-01,1183
2018-06-01,1252.5
2018-07-01,1156.5
2018-08-01,1171
2018-09-01,1159.5
2018-10-01,1180
2018-11-01,1304.5
2018-12-01,1337.5
